date,zip,confirmed_cases,Age: Unknown,Age: <20,Age: 20-29,Age: 30-39,Age: 40-49,Age: 50-59,Age: 60-69,Age: 70-79,Age: 80+,Gender: Male,Gender: Female,Gender: Unknown/Left Blank,Race: White,Race: Black,Race: Left Blank,Race: Other,Race: Asian,Race: Hispanic,Race: NH/PI*,Race: AI/AN**
2020-4-20,60543,45,0,0,0,6,9,12,8,0,0,18,27,0,18,13,0,0,0,7,0,0
2020-4-20,60544,53,0,0,0,8,11,14,9,6,0,29,24,0,16,10,13,0,0,8,0,0
2020-4-20,60545,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2020-4-20,60546,59,0,6,8,10,10,8,11,6,0,31,27,0,16,7,13,0,0,16,0,0
2020-4-20,60548,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
2020-4-20,60551,9,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
2020-4-20,60554,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
2020-4-20,60555,21,0,0,0,0,0,7,0,0,0,10,11,0,8,0,0,0,0,9,0,0
2020-4-20,60558,14,0,0,0,0,0,0,0,0,0,8,6,0,13,0,0,0,0,0,0,0
2020-4-20,60559,81,0,0,9,0,9,14,13,15,16,34,46,0,36,8,19,0,0,11,0,0
2020-4-20,60560,21,0,0,0,6,0,0,0,0,0,8,13,0,9,0,0,0,0,0,0,0
2020-4-20,60561,48,0,0,0,6,7,9,10,10,0,26,22,0,21,0,10,0,0,0,0,0
2020-4-20,60563,41,0,0,0,0,10,7,7,0,6,16,25,0,23,0,7,0,0,0,0,0
2020-4-20,60564,50,0,0,0,0,6,14,9,0,10,27,23,0,23,0,12,0,0,0,0,0
2020-4-20,60565,70,0,0,6,0,9,9,16,14,10,42,28,0,44,0,8,0,9,0,0,0
2020-4-20,60585,34,0,0,0,0,7,15,0,0,0,16,18,0,15,0,9,0,0,0,0,0
2020-4-20,60586,97,0,0,9,14,31,22,10,8,0,50,47,0,33,19,18,0,0,18,0,0
2020-4-20,60601,35,0,0,11,10,0,0,0,0,0,21,14,0,16,7,0,0,7,0,0,0
2020-4-20,60605,74,0,0,10,33,8,7,11,0,0,42,31,0,23,9,29,0,8,0,0,0
2020-4-20,60606,24,0,0,0,0,0,0,0,0,0,12,12,0,0,6,12,0,0,0,0,0
2020-4-20,60607,145,0,0,17,32,17,32,31,7,0,58,43,44,32,30,65,0,8,7,0,0
2020-4-20,60608,389,0,11,75,68,76,71,49,26,12,247,131,11,55,98,62,11,6,157,0,0
2020-4-20,60609,308,0,13,50,50,61,54,41,28,11,134,166,8,34,72,72,7,0,118,0,0
2020-4-20,60610,110,0,0,26,18,22,15,19,0,0,54,54,0,48,30,20,0,6,0,0,0
2020-4-20,60611,75,0,0,11,19,6,14,6,11,0,36,38,0,39,0,14,0,8,6,0,0
2020-4-20,60612,295,0,0,44,60,48,62,53,19,0,148,142,0,21,160,94,7,0,10,0,0
2020-4-20,60613,166,0,0,35,32,22,26,28,9,12,92,72,0,75,24,38,10,0,14,0,0
2020-4-20,60614,198,0,0,48,27,24,22,19,27,29,88,103,7,98,26,40,7,8,19,0,0
2020-4-20,60615,189,0,0,17,31,31,38,36,11,20,87,100,0,8,134,36,0,0,0,0,0
2020-4-20,60616,194,0,0,12,33,29,34,42,21,19,99,95,0,18,99,39,0,26,11,0,0
2020-4-20,60617,361,0,7,27,46,61,81,62,42,35,175,180,6,14,205,91,7,0,42,0,0
2020-4-20,60618,305,0,10,54,60,67,64,25,17,8,169,134,0,75,12,79,18,10,109,0,0
2020-4-20,60619,410,0,12,21,40,75,94,84,35,49,153,250,7,0,332,65,0,0,0,0,0
2020-4-20,60620,475,0,0,33,55,91,95,80,66,54,208,263,0,0,298,168,0,0,0,0,0
2020-4-20,60621,202,0,6,25,27,25,47,33,25,14,90,111,0,0,148,43,6,0,0,0,0
2020-4-20,60622,209,0,0,34,58,21,29,22,18,24,103,104,0,59,33,48,11,0,53,0,0
2020-4-20,60623,495,0,12,73,100,98,100,61,36,15,254,236,0,17,154,121,20,0,182,0,0
2020-4-20,60624,292,0,7,32,57,58,61,37,22,18,125,165,0,6,218,51,0,0,13,0,0
2020-4-20,60625,316,0,12,42,56,66,65,35,19,21,186,127,0,53,13,86,27,32,102,0,0
2020-4-20,60626,264,0,0,42,39,34,52,40,29,23,131,129,0,54,66,56,23,9,54,0,0
2020-4-20,60628,395,0,8,26,37,69,91,54,69,41,175,216,0,0,269,110,0,0,0,0,0
2020-4-20,60629,515,0,11,79,94,122,104,61,29,15,263,247,0,46,98,163,18,0,184,0,0
2020-4-20,60630,174,0,0,26,25,34,37,24,16,8,96,76,0,38,0,66,9,19,37,0,0
2020-4-20,60631,97,0,0,16,8,27,21,11,6,7,63,34,0,47,0,38,0,0,0,0,0
2020-4-20,60632,413,0,14,74,92,89,80,37,14,12,210,197,6,49,0,121,26,6,205,0,0
2020-4-20,60633,48,0,0,6,8,9,12,7,0,0,21,27,0,0,25,13,0,0,0,0,0
2020-4-20,60634,354,0,0,29,61,81,71,65,31,11,175,175,0,79,6,127,25,17,100,0,0
2020-4-20,60636,230,0,6,22,38,39,43,28,34,20,107,121,0,0,164,42,0,0,21,0,0
2020-4-20,60637,239,0,0,31,43,38,47,27,27,21,110,127,0,13,179,44,0,0,0,0,0
2020-4-20,60638,227,0,0,35,36,60,49,17,18,11,116,106,0,58,17,92,11,0,49,0,0
2020-4-20,60639,511,0,18,65,103,104,95,65,42,19,265,243,0,39,61,187,18,0,204,0,0
2020-4-20,60640,270,0,10,21,40,44,45,47,31,32,150,115,0,94,41,57,15,28,34,0,0
2020-4-20,60641,262,0,8,28,45,58,50,48,18,7,138,119,0,40,10,103,14,6,89,0,0
2020-4-20,60642,40,0,0,0,17,0,6,6,0,0,20,16,0,13,0,10,0,0,11,0,0
2020-4-20,60643,327,0,0,16,33,54,70,61,39,50,147,175,0,23,156,140,0,0,0,0,0
2020-4-20,60644,357,0,9,39,52,66,76,52,39,24,170,182,0,7,249,86,6,0,7,0,0
2020-4-20,60645,468,0,30,87,64,71,79,71,33,33,255,210,0,170,65,74,50,33,75,0,0
2020-4-20,60646,80,0,0,10,15,20,19,9,0,0,44,36,0,34,0,22,0,0,16,0,0
2020-4-20,60647,230,0,6,42,52,45,34,24,18,9,115,113,0,42,14,73,8,0,91,0,0
2020-4-20,60649,290,0,0,23,35,38,49,50,53,40,129,159,0,0,218,63,0,0,0,0,0
2020-4-20,60651,370,0,9,48,70,64,62,56,45,16,167,199,0,7,208,85,11,0,59,0,0
2020-4-20,60652,223,0,0,18,45,48,53,35,15,6,112,105,6,18,75,91,6,0,32,0,0
2020-4-20,60653,210,0,19,16,28,42,39,37,17,12,99,109,0,0,159,34,0,10,0,0,0
2020-4-20,60654,78,0,0,15,27,12,13,6,0,0,55,23,0,33,20,11,0,0,0,0,0
2020-4-20,60655,134,0,0,19,28,27,27,15,9,8,80,53,0,40,16,73,0,0,0,0,0
2020-4-20,60656,91,0,0,13,17,19,20,14,0,0,58,33,0,38,0,29,0,6,11,0,0
2020-4-20,60657,159,0,0,46,38,24,20,6,10,13,91,66,0,93,8,32,0,7,14,0,0
2020-4-20,60659,255,0,11,41,38,42,45,36,22,20,133,119,0,69,14,51,42,42,35,0,0
2020-4-20,60660,155,0,0,19,29,17,32,33,18,0,86,68,0,47,30,35,12,0,27,0,0
